DOI	Title	Authors	Abstract	Section	Date
10.48550/arXiv.2510.05096	paper2video : automatic video generation from scientific paper	Zeyu Zhu, Kevin Qinghong Lin, Mike Zheng Shou	academic presentation video have become an essential medium for research communication , yet produce them remain highly labor-intensive , often require hour of slide design , recording , and edit for a short 2 to 10 minute video . unlike natural video , presentation video generation involve distinctive challenge : input from research paper , dense multi-modal information ( text , figure , table ) , and the need to coordinate multiple align channel such a slide , subtitle , speech , and human talker . to address these challenge , we introduce papertalker , the first benchmark of 101 research paper pair with author-created presentation video , slide , and speaker metadata . we further design four tailored evaluation metric -- meta similarity , presentarena , presentquiz , and ip memory -- to measure how videos convey the paper 's information to the audience . building on this foundation , we propose papertalker , the first multi-agent framework for academic presentation video generation . it integrate slide generation with effective layout refinement by a novel effective tree search visual choice , cursor grounding , subtitle , speech synthesis , and talking-head rendering , while parallelize slide-wise generation for efficiency . experiment on paper2video demonstrate that the presentation video produce by our approach be more faithful and informative than exist baseline , establish a practical step toward automate and ready-to-use academic video generation . our dataset , agent , and code be available at http : //github.com/showlab/paper2video .	Computation and Language	06/10/2025
10.48550/arXiv.2510.05095	from noisy trace to stable gradient : bias-variance optimized preference optimization for align large reasoning model	Mingkang Zhu, Xi Chen, Bei Yu, Hengshuang Zhao, Jiaya Jia	large reason model ( lrms ) generate intermediate reasoning trace before produce final answer , yield strong gain on multi-step and mathematical task . yet align lrms with human preference , a crucial prerequisite for model deployment , remain underexplored . the statistically correct objective for preference alignment require marginalize over reason trace , but this computation be intractable in practice . a common workaround optimize a single sampled trajectory , which introduce substantial gradient variance from stochastic trace sample . to address this challenge , we frame preference optimization for lrms through the lens of the bias -- variance trade-off and propose bias -- variance optimize preference optimization ( bvpo ) , a simple , drop-in method that mix two gradient estimator : a high-variance trace-based estimator and a low-variance empty-trace estimator obtain by disable reason trace generation . our theory show that bvpo strictly reduce trace-induced variance for any nontrivial mixture , provide a closed-form choice of the mixing weight that minimize mean-squared error relative to the true marginal gradient , and under standard smoothness and step-size condition , tighten classical convergence bound for stochastic gradient descent . empirically , bvpo improves alignment over the best baseline by up to 7.8 point on alpacaeval~2 and 6.8 point on arena-hard . despite be train only on general conversational data , bvpo also boost reason performance for base model by up to 4.0 point on the average of six math reason benchmark . these result identify variance from trace sample a a key bottleneck and demonstrate that directly optimize the bias -- variance trade-off yield more stable training and strong overall performance .	Computation and Language	06/10/2025
10.48550/arXiv.2510.05092	learn to interpret weight difference in language model	Avichal Goel, Yoon Kim, Nir Shavit, Tony T. Wang	finetuning ( pretrained ) language model be a standard approach for update their internal parametric knowledge and specialize them to new task and domain . however , the corresponding model weight change ( `` weight diffs '' ) be not generally interpretable . while inspect the finetuning dataset can give a sense of how the model might have change , these datasets be often not publicly available or be too large to work with directly . towards the goal of comprehensively understand weight diffs in natural language , we introduce diff interpretation tuning ( dit ) , a method that train model to describe their own finetuning-induced modification . our approach use synthetic , label weight diffs to train a dit adapter , which can be apply to a compatible finetuned model to make it describe how it have change . we demonstrate in two proof-of-concept setting ( report hide behavior and summarize finetuned knowledge ) that our method enable model to describe their finetuning-induced modification use accurate natural language description .	Computation and Language	06/10/2025
10.48550/arXiv.2510.05090	finish first , perfect later : test-time token-level cross-validation for diffusion large language model	Runchu Tian, Junxia Cui, Xueqiang Xu, Feng Yao, Jingbo Shang	diffusion large language model ( dllms ) have recently emerge a a promising alternative to autoregressive ( ar ) model , offer advantage such a accelerated parallel decoding and bidirectional context modeling . however , the vanilla decode strategy in discrete dllms suffers from a critical limitation : once a token be accept , it can no longer be revise in subsequent step . a a result , early mistake persist across iteration , harm both intermediate prediction and final output quality . to address this issue , we propose tolerator ( token-level cross-validation refinement ) , a training-free decoding strategy that leverage cross-validation among predicted token . unlike exist method that follow a single progressive unmasking procedure , tolerator introduces a two-stage process : ( i ) sequence fill-up and ( ii ) iterative refinement by remasking and decode a subset of token while treat the remain a context . this design enable previously accept token to be reconsider and correct when necessary , lead to more reliable diffusion decode output . we evaluate tolerator on five standard benchmark cover language understanding , code generation , and mathematics . experiment show that our method achieve consistent improvement over the baseline under the same computational budget . these finding suggest that decode algorithm be crucial to realize the full potential of diffusion large language model . code and data be publicly available .	Computation and Language	06/10/2025
10.48550/arXiv.2510.05087	teachlm : post-training llm for education use authentic learning data	Janos Perczel, Jin Chow, Dorottya Demszky	the promise of generative ai to revolutionize education be constrain by the pedagogical limit of large language model ( llm ) . a major issue be the lack of access to high-quality training data that reflect the learning of actual student . prompt engineering have emerge a a stopgap , but the ability of prompt to encode complex pedagogical strategy in rule-based natural language be inherently limit . to address this gap we introduce teachlm - an llm optimize for teach through parameter-efficient fine-tuning of state-of-the-art model . teachlm be train on a dataset comprise of 100,000 hour of one-on-one , longitudinal student-tutor interaction maintain by polygence , which undergo a rigorous anonymization process to protect privacy . we use parameter-efficient fine-tuning to develop an authentic student model that enable the generation of high-fidelity synthetic student-tutor dialogue . building on this capability , we propose a novel multi-turn evaluation protocol that leverage synthetic dialogue generation to provide fast , scalable , and reproducible assessment of the dialogical capability of llm . our evaluation demonstrate that fine-tuning on authentic learning data significantly improve conversational and pedagogical performance - double student talk time , improve question style , increase dialogue turn by 50 % , and great personalization of instruction .	Computation and Language	06/10/2025
10.48550/arXiv.2510.05077	slm-mux : orchestrate small language model for reason	Chenyu Wang, Zishen Wan, Hao Kang, Emma Chen, Zhiqiang Xie, Tushar Krishna, Vijay Janapa Reddi, Yilun Du	with the rapid development of language model , the number of small language model ( slms ) have grow significantly . although they do not achieve state-of-the-art accuracy , they be more efficient and often excel at specific task . this raise a natural question : can multiple slms be orchestrate into a system where each contribute effectively , achieve high accuracy than any individual model ? exist orchestration method have primarily target frontier model ( e.g. , gpt-4 ) and perform suboptimally when apply to slms . to address this gap , we propose a three-stage approach for orchestrate slms . first , we introduce slm-mux , a multi-model architecture that effectively coordinate multiple slms . building on this , we develop two optimization strategy : ( i ) a model selection search that identify the most complementary slms from a give pool , and ( ii ) test-time scaling tailor to slm-mux . our approach delivers strong result : compare to exist orchestration method , our approach achieve up to 13.4 % improvement on math , 8.8 % on gpqa , and 7.0 % on gsm8k . with just two slms , slm-mux outperforms qwen 2.5 72b on gpqa and gsm8k , and match it performance on math . we further provide theoretical analysis to substantiate the advantage of our method . in summary , we demonstrate that slms can be effectively orchestrate into more accurate and efficient system through the propose approach .	Computation and Language	06/10/2025
10.48550/arXiv.2510.05069	swireasoning : switch-thinking in latent and explicit for pareto-superior reasoning llm	Dachuan Shi, Abedelkadir Asi, Keying Li, Xiangchi Yuan, Leyan Pan, Wenke Lee, Wen Xiao	recent work show that , beyond discrete reason through explicit chain-of-thought step , which be limit by the boundary of natural language , large language model ( llm ) can also reason continuously in latent space , allow rich information per step and thereby improve token efficiency . despite this promise , latent reasoning still face two challenge , especially in training-free setting : 1 ) purely latent reason broaden the search distribution by maintain multiple implicit path , which diffuse probability mass , introduces noise , and impedes convergence to a single high-confidence solution , thereby hurt accuracy ; and 2 ) overthinking persists even without explicit text , waste token and degrade efficiency . to address these issue , we introduce swireasoning , a training-free framework for llm reason which feature two key innovation : 1 ) swireasoning dynamically switch between explicit and latent reasoning , guide by block-wise confidence estimate from entropy trend in next-token distribution , to balance exploration and exploitation and promote timely convergence . 2 ) by limit the maximum number of thinking-block switch , swireasoning curb overthinking and improves token efficiency across vary problem difficulty . on widely use mathematics and stem benchmark , swireasoning consistently improve average accuracy by 1.5 % -2.8 % across reason llm of different model family and scale . furthermore , under constrain budget , swireasoning improves average token efficiency by 56 % -79 % , with large gain a budget tighten .	Computation and Language	06/10/2025
10.48550/arXiv.2510.05052	proactive defense against llm jailbreak	Weiliang Zhao, Jinjun Peng, Daniel Ben-Levi, Zhou Yu, Junfeng Yang	the proliferation of powerful large language model ( llm ) have necessitate robust safety alignment , yet these model remain vulnerable to evolve adversarial attack , include multi-turn jailbreak that iteratively search for successful query . current defense , primarily reactive and static , often fail to counter these search-based attack . in this paper , we introduce proact , a novel proactive defense framework design to disrupt and mislead autonomous jailbreaking process . our core idea be to intentionally provide adversary with `` spurious response '' that appear to be result of successful jailbreak attack but contain no actual harmful content . these misleading response provide false signal to the attacker 's internal optimization loop , cause the adversarial search to terminate prematurely and effectively jailbreaking the jailbreak . by conduct extensive experiment across state-of-the-art llm , jailbreaking framework , and safety benchmark , our method consistently and significantly reduces attack success rate by up to 92\ % . when combine with other defense framework , it far reduce the success rate of the late attack strategy to 0\ % . proact represent an orthogonal defense strategy that can serve a an additional guardrail to enhance llm safety against the most effective jailbreaking attack .	Computation and Language	06/10/2025
10.48550/arXiv.2510.05046	cole : a comprehensive benchmark for french language understanding evaluation	David Beauchemin, Yan Tremblay, Mohamed Amine Youssef, Richard Khoury	to address the need for a more comprehensive evaluation of french natural language understanding ( nlu ) , we introduce cole , a new benchmark compose of 23 diverse task cover a broad range of nlu capability , include sentiment analysis , paraphrase detection , grammatical judgment , and reason , with a particular focus on linguistic phenomenon relevant to the french language . we benchmark 94 large language model ( llm ) , provide an extensive analysis of the current state of french nlu . our result highlight a significant performance gap between closed- and open-weights model and identify key challenge frontier for current llm , such a zero-shot extractive question-answering ( qa ) , fine-grained word sense disambiguation , and understanding of regional language variation . we release cole a a public resource to foster further progress in french language modelling .	Computation and Language	06/10/2025
10.48550/arXiv.2510.05038	guide query refinement : multimodal hybrid retrieval with test-time optimization	Omri Uzan, Asaf Yehudai, Roi pony, Eyal Shnarch, Ariel Gera	multimodal encoders have push the boundary of visual document retrieval , match textual query tokens directly to image patch and achieve state-of-the-art performance on public benchmark . recent model rely on this paradigm have massively scale the size of their query and document representation , present obstacle to deployment and scalability in real-world pipeline . furthermore , purely vision-centric approach may be constrain by the inherent modality gap still exhibit by modern vision-language model . in this work , we connect these challenge to the paradigm of hybrid retrieval , investigate whether a lightweight dense text retriever can enhance a strong vision-centric model . exist hybrid method , which rely on coarse-grained fusion of rank or score , fail to exploit the rich interaction within each model 's representation space . to address this , we introduce guided query refinement ( gqr ) , a novel test-time optimization method that refine a primary retriever 's query embed use guidance from a complementary retriever 's score . through extensive experiment on visual document retrieval benchmark , we demonstrate that gqr allow vision-centric model to match the performance of model with significantly large representation , while be up to 14x faster and require 54x less memory . our finding show that gqr effectively push the pareto frontier for performance and efficiency in multimodal retrieval . we release our code at http : //github.com/ibm/test-time-hybrid-retrieval	Computation and Language	06/10/2025
