DOI	Title	Authors	Abstract	Journal	Date
10.1016/S0140-6736(25)01635-6	the global , regional , and national burden of cancer , 1990-2023 , with forecast to 2050 : a systematic analysis for the global burden of disease study 2023 .		cancer be a lead cause of death globally . accurate cancer burden information be crucial for policy planning , but many country do not have up-to-date cancer surveillance data . to inform global cancer-control effort , we use the global burden of disease , injury , and risk factor study ( gbd ) 2023 framework to generate and analyse estimate of cancer burden for 47 cancer type or grouping by age , sex , and 204 country and territory from 1990 to 2023 , cancer burden attributable to select risk factor from 1990 to 2023 , and forecast cancer burden up to 2050. cancer estimation in gbd 2023 use data from population-based cancer registration system , vital registration system , and verbal autopsy . cancer mortality be estimate use ensemble model , with incidence inform by mortality estimate and mortality-to-incidence ratio ( mirs ) . prevalence estimate be generate from model survival estimate , then multiply by disability weight to estimate year live with disability ( ylds ) . year of life lose ( ylls ) be estimate by multiply age-specific cancer death by the gbd standard life expectancy at the age of death . disability-adjusted life-years ( dalys ) be calculate a the sum of ylls and ylds . we use the gbd 2023 comparative risk assessment framework to estimate cancer burden attributable to 44 behavioural , environmental and occupational , and metabolic risk factor . to forecast cancer burden from 2024 to 2050 , we use the gbd 2023 forecasting framework , which include forecast of relevant risk factor exposure and use socio-demographic index a a covariate for forecast the proportion of each cancer not affect by these risk factor . progress towards the un sustainable development goal ( sdg ) target 3.4 aim to reduce non-communicable disease mortality by a third between 2015 and 2030 be estimate for cancer . in 2023 , exclude non-melanoma skin cancer , there be 18·5 million ( 95 % uncertainty interval 16·4 to 20·7 ) incident case of cancer and 10·4 million ( 9·65 to 10·9 ) death , contribute to 271 million ( 255 to 285 ) dalys globally . of these , 57·9 % ( 56·1 to 59·8 ) of incident case and 65·8 % ( 64·3 to 67·6 ) of cancer death occur in low-income to upper-middle-income country base on world bank income group classification . cancer be the second leading cause of death globally in 2023 after cardiovascular disease . there be 4·33 million ( 3·85 to 4·78 ) risk-attributable cancer death globally in 2023 , comprise 41·7 % ( 37·8 to 45·4 ) of all cancer death . risk-attributable cancer death increase by 72·3 % ( 57·1 to 86·8 ) from 1990 to 2023 , whereas overall global cancer death increase by 74·3 % ( 62·2 to 86·2 ) over the same period . the reference forecast ( the most likely future ) estimate that in 2050 there will be 30·5 million ( 22·9 to 38·9 ) case and 18·6 million ( 15·6 to 21·5 ) death from cancer globally , 60·7 % ( 41·9 to 80·6 ) and 74·5 % ( 50·1 to 104·2 ) increase from 2024 , respectively . these forecasted increase in death be great in low-income and middle-income country ( 90·6 % [ 61·0 to 127·0 ] ) compare with high-income country ( 42·8 % [ 28·3 to 58·6 ] ) . most of these increase be likely due to demographic change , a age-standardised death rate be forecast to change by -5·6 % ( -12·8 to 4·6 ) between 2024 and 2050 globally . between 2015 and 2030 , the probability of die due to cancer between the age of 30 year and 70 year be forecast to have a relative decrease of 6·5 % ( 3·2 to 10·3 ) . cancer be a major contributor to global disease burden , with increase number of case and death forecast up to 2050 and a disproportionate growth in burden in country with scarce resource . the decline in age-standardised mortality rate from cancer be encourage but insufficient to meet the sdg target set for 2030. effectively and sustainably address cancer burden globally will require comprehensive national and international effort that consider health system and context in the development and implementation of cancer-control strategy across the continuum of prevention , diagnosis , and treatment . gate foundation , st jude child 's research hospital , and st baldrick 's foundation .	Lancet (London, England)	24/09/2025
10.4049/jimmunol.173.5.2995	a novel mutation in cd83 result in the development of a unique population of cd4+ t cell .	García-Martínez LF, Appleby MW, Staehling-Hampton K, Andrews DM, Chen Y, McEuen M, Tang P, Rhinehart RL, Proll S, Paeper B, Brunkow ME, Grandea AG 3rd, Howard ED, Walker DE, Charmley P, Jonas M, Shaw S, Latham JA, Ramsdell F	use a mouse mutagenesis screen , we have identify cd83 a be critical for the development of cd4 ( + ) t cell and for their function postactivation . cd11c ( + ) dendritic cell develop and function normally in mouse with a mutate cd83 gene but cd4 ( + ) t cell development be substantially reduce . additionally , we now show that those cd4 ( + ) cell that develop in a cd83 mutant animal fail to respond normally follow allogeneic stimulation . this be at least in part due to an altered cytokine expression pattern characterize by an increased production of il-4 and il-10 and diminished il-2 production . thus , in addition to it role in selection of cd4 ( + ) t cell , absence of cd83 result in the generation of cell with an altered activation and cytokine profile .	Journal of immunology (Baltimore, Md. : 1950)	01/09/2004
10.1038/s41586-025-09588-6	autoimmune response to c9orf72 protein in amyotrophic lateral sclerosis .	Michaelis T, Lindestam Arlehamn CS, Johansson E, Frazier A, Berry JD, Cudkowicz M, Goyal NA, Fournier C, Snyder A, Kwan JY, Crook J, Phillips EJ, Mallal SA, Ravits J, Marder KS, Sidney J, Sulzer D, Sette A	amyotrophic lateral sclerosis ( al ) be a neurodegenerative disease characterize by a progressive loss of motor neuron . neuroinflammation be apparent in affected tissue , include increase t cell infiltration and activation of microglia , particularly in the spinal cord ( 1,2 ) . autoimmune response be think to have a key role in al pathology , and it be hypothesize that t cell contribute to the rapid loss of neuron during disease progression ( 3,4 ) . however , until now there have be no reported target for such an autoimmune response . here we show that al be associate with recognition of the c9orf72 antigen , and we map the specific epitope that be recognize . we show that these response be mediate by cd4 ( + ) t cell that preferentially release il-5 and il-10 , and that il-10-mediated t cell response be significantly great in donor who have a longer predicted survival time . our result reinforce the previous hypothesis that neuroinflammation have an important role in al disease progression , possibly because of a disrupted balance of inflammatory and counter-inflammatory t cell response ( 4 ) . these finding highlight the potential of therapeutic strategy aim at enhance regulatory t cell ( 5 ) , and identify a key target for antigen-specific t cell response that could enable precision therapeutic in al .	Nature	01/10/2025
10.1038/s41573-025-01291-5	in vivo chimeric antigen receptor ( car ) -t cell therapy .	Bot A, Scharenberg A, Friedman K, Guey L, Hofmeister R, Andorko JI, Klichinsky M, Neumann F, Shah JV, Swayer AJ, Trudeau K, Weissman D, Stephan MT, Buchholz CJ, June CH	chimeric antigen receptor ( car ) -t cell therapy have transform the outcome of patient with haematological malignancy , yet it use be limit by labour-intensive manufacturing , constrain production capacity and variable clinical performance . in vivo car-t cell engineering , in which car-t cell be generate directly inside the patient 's body , seek to overcome these challenge by eliminate the need for ex vivo cell processing and complex logistics , as well a improve clinical performance . recent advance in virology , rna medicine and nanotechnology have catalyse a radical overhaul of this approach , which use targeted delivery system such a lentiviral vector and lipid nanoparticles to introduce car-encoding genetic material into endogenous t cell . early clinical study have show efficient transduction , sustain car expression and initial sign of antitumour activity , establish proof of concept . this review explore the underlie technology - include rna deliver by lipid nanoparticles and engineered viral vector - and discuss how they be be adapt to develop more broadly applicable , scalable , safe and effective car-t cell therapy . by remove the need for ex vivo manipulation and chemotherapeutic conditioning , this strategy could enable the wide application of car-t cell therapies not just to blood cancer but to autoimmune disease for which ex vivo car-t cell therapy have show strong promise , such a systemic lupus erythematosus .	Nature reviews. Drug discovery	30/09/2025
10.2147/NSS.S467531	effect of acute sleep deprivation on sport performance in athlete : a comprehensive systematic review and meta-analysis .	Gong M, Sun M, Sun Y, Jin L, Li S	use meta-analysis to comprehensively and quantitatively evaluate the impact of acute sleep deprivation on different sport performance of athlete , this study aim to provide scientific guidance for coach in optimize and adjust training and competition arrangement . establish literature inclusion and exclusion criterion , we conduct search in both chinese and english database . use stata 14.0 , we analyze 75 indicator from 27 included literature , focus on three aspect : the impact of acute sleep deprivation on overall athletic performance , the impact on sport performance across various athletic ability , and the disparity in athletic performance between morning and afternoon follow acute sleep deprivation . the effect size of acute sleep deprivation on overall athletic performance be -0.56 ( p < 0.05 ) . sub-analyses reveal effect size of -0.23 ( p < 0.05 ) for whole night sleep deprivation , -1.17 ( p < 0.05 ) for partial sleep deprivation at the end of the night , and -0.25 ( p > 0.05 ) for partial sleep deprivation in the beginning of the night . the effect size of acute sleep deprivation on high intensity intermittent exercise , skill control , speed , aerobic endurance , and explosive power indicator be -1.57 , -1.06 , -0.67 , -0.54 , and -0.39 respectively ( p < 0.05 ) . the effect size of acute sleep deprivation on the overall athletic performance in the morning and afternoon be -0.30 , and -1.11 , respectively ( p < 0.05 ) . acute sleep deprivation significantly impair the overall athletic performance of athlete , with a more pronounced negative impact observe with partial sleep deprivation at the end of the night . various type of exercise performance be adversely affect by acute sleep deprivation , with magnitude of impact rank high intensity intermittent , skill control , speed , aerobic endurance , and explosive power . follow acute sleep deprivation , athlete ' overall sport performance in the afternoon be inferior to that in the morning .	Nature and science of sleep	01/01/2024
10.1016/0022-2836(88)90482-2	selection of dna bind site by regulatory protein . ii . the bind specificity of cyclic amp receptor protein to recognition site .	Berg OG, von Hippel PH	the statistic of base-pair usage within know recognition site for a particular dna-binding protein can be use to estimate the relative protein bind affinity to these site , as well a to site contain any other combination of base-pairs . a have be describe elsewhere , the connection between base-pair statistic and bind free energy be make by an equal probability selection assumption ; i.e . that all base-pair sequence that provide appropriate binding strength be equally likely to have be choose a recognition site in the course of evolution . this be analogous to a statistical-mechanical system where all configuration with the same energy be equally likely to occur . in this communication , we apply the statistical-mechanical selection theory to analyze the base-pair statistic of the know recognition sequence for the cyclic amp receptor protein ( crp ) . the theoretical prediction be find to be in reasonable agreement with bind data for those sequence for which experimental binding information be available , thus lend support to the basic assumption of the selection theory . on the basis of this agreement , we can predict the affinity for crp binding to any base-pair sequence , albeit with a large statistical uncertainty . when the know recognition site for crp be rank accord to predict binding affinity , we find that the ranking be consistent with the hypothesis that the level of function of these site parallel their fractional saturation with crp-camp under in-vivo condition . when apply to the entire genome , the theory predict the existence of a large number of randomly occur `` pseudosites '' with strong binding affinity for crp . it appear that most crp molecule be engage in non-productive binding at non-specific or pseudospecific site under in-vivo condition . in this sense , the specificity of the crp bind site be very low . relative specificity requirement for polymerase , repressor and activator be compare in light of the result of this and the first paper in this series .	Journal of molecular biology	20/04/1988
10.1038/s41591-025-03978-z	a systematic review and meta-analysis of the efficacy and safety of pharmacological treatment for obesity in adult .	McGowan B, Ciudin A, Baker JL, Busetto L, Dicker D, Frühbeck G, Goossens GH, Monami M, Sbraccia P, Martinez-Tellez B, Woodward E, Yumuk V	this systematic review and network meta-analysis evaluate the efficacy and safety of obesity management medication ( omms ) in term of reduce body weight and impact on obesity-related complication . here a medline and embase search be perform up to 31 january 2025 for randomize controlled trial compare omms versus placebo/active comparators in adult . primary endpoint be percentage of total body weight loss ( tbwl % ) at the end of the study . secondary endpoint be tbwl % at 1 , 2 and ≥3 year , lipid profile , blood pressure , hemoglobin a1c , fast plasma glucose , mental health , serious adverse event , quality of life , cardiovascular morbidity and mortality , remission of obesity-related complication and all-cause mortality . fifty-six clinical trial be identified-orlistat ( 22 ) , semaglutide ( 14 ) , liraglutide ( 11 ) , tirzepatide ( 6 ) , naltrexone/bupropion ( 5 ) and phentermine/topiramate ( 2 ) -enrolling 60,307 patient ( 32,598 omm and 27,709 placebo ) . all omms show a significantly great tbwl % versus placebo ( p < 0.0001 ) , more than 10 % for semaglutide and tirzepatide . both tirzepatide and semaglutide show normoglycemia restoration , remission of type 2 diabetes and reduction in hospitalization due to heart failure . semaglutide be effective in reduce major adverse cardiovascular event and reduce pain in knee osteoarthritis . tirzepatide be effective in remission of obstructive sleep apnea syndrome and metabolic dysfunction-associated steatohepatitis . these result support the need to individualize the selection of omms .	Nature medicine	02/10/2025
10.1186/s13058-025-02123-5	hsa-mir-155-5p expression in primary breast tissue may have the potential for prediction of breast cancer brain recurrence : result from the multi-institutional exploratory cohort study .	Koyama Y, Muguruma M, Horimoto Y, Narui K, Yamada A, Yamada K, Yamamoto S, Orihara S, Kaise H, Kogure A, Yoshioka Y, Ochiya T, Ishikawa T	despite the known incidence of brain metastasis in breast cancer , no useful biomarker have be clinically establish for breast cancer brain metastasis ( bcbm ) . in the present study , we aim to examine the expression of micrornas ( mirnas ) relate to bcbm in formalin-fixed paraffin-embedded ( ffpe ) tissue to identify their usefulness a predictive biomarkers of breast cancer brain recurrence ( bcbr ) . pair of primary breast and metastatic site tissue sample be collect from 38 patient who experience the first recurrence of metastasis to a single distant organ ( brain/lungs/liver/bones = 11/12/9/6 patient ) between january 2007 and december 2021 at five institution in japan . we evaluate the expression of 15 mirnas in ffpe specimen of untreated breast and metastatic site from the same patient use quantitative polymerase chain reaction . analysis of the select 15 mirnas reveal that hsa-mir-155-5p exhibit significant bcbr-specific overexpression in untreated primary breast tissue ( p < 0.001 ) . two other mirnas , hsa-mir-150-5p and hsa-mir-20b-5p , exhibited moderate ( ρ = 0.587 ) and weak ( ρ = 0.350 ) positive correlation with hsa-mir-155-5p , respectively . the bcbr prediction model demonstrate a high discrimination ability for hsa-mir-155-5p ( auc = 0.960 ) . the localization of hsa-mir-155-5p in primary breast cancer tissue by in situ hybridization confirm that hsa-mir-155-5p be uniformly stain in the breast cancer cell . hsa-mir-155-5p expression in untreated primary breast tissue may be a valuable biomarker for predict bcbr . a personalized escalation strategy be expect to be helpful in conquer brain metastasis .	Breast cancer research : BCR	29/09/2025
10.1038/s41593-025-02062-6	muscle-derived mir-126 regulates tdp-43 axonal local synthesis and nmj integrity in al model .	Ionescu A, Ankol L, Ganapathy Subramaniam A, Altman T, Magen I, Cohen Y, Danino Y, Gradus-Pery T, Niv Y, Bar Avi O, Geller D, Ibraheem A, Cheng R, Steinberg N, Alfahel L, Duc P, Ergul-Ulger Z, Arslan D, Tan E, Rage F, Riva N, Quattrini A, Bekircan-Kurt CE, Israelson A, Dori A, Hornstein E, Perlson E	amyotrophic lateral sclerosis ( al ) be characterize by neuromuscular junction ( nmj ) disruption and neurodegeneration . recent finding highlight a pivotal role for tar dna-binding protein 43 ( tdp-43 ) in form axonal pathological condensate and facilitate nmj disruption through inhibition of local protein synthesis . however , the mechanism that drive local tdp-43 accumulation remain unknown . here we identify that the tdp-43 axonal accumulation in peripheral nerve of sod1 patient and mice stem from it aberrant local synthesis . this be a non-cell-autonomous process drive by muscle-derived mir-126a-5p extracellular vesicle ( ev ) . inhibit muscle secretion of mir-126a-5p prompt presynaptic tdp-43 synthesis and accumulation , which disrupt axonal translation and cause nmj degeneration . introduce mir-126 to sod1 ( g93a ) mouse , primary co-cultures and human induce pluripotent stem cell ( ipsc ) -derived co-cultures with al mutation exhibit neuroprotective effect and delay motor decline . these finding identify a transcellular communication axis between muscle and motor neuron that regulate axonal local synthesis and nmj maintenance , offer insight into al onset and progression .	Nature neuroscience	03/10/2025
10.1002/ajmg.10401	a 52-kb deletion in the sost-meox1 intergenic region on 17q12-q21 be associate with van buchem disease in the dutch population .	Staehling-Hampton K, Proll S, Paeper BW, Zhao L, Charmley P, Brown A, Gardner JC, Galas D, Schatzman RC, Beighton P, Papapoulos S, Hamersma H, Brunkow ME	van buchem disease be an autosomal recessive sclerosing bone dysplasia characterize by skeletal hyperostosis , overgrowth of the mandible , and a liability to entrapment of the seventh and eighth cranial nerve . the genetic determinant map to chromosome 17q12-q21 . we refine the critical interval to the < 1-mb region between d17s2250 and d17s2253 in 15 affected individual , all of whom share a common disease haplotype . furthermore , we report here the identification of a 52-kb deletion locate within the interval and encompass d17s1789 that be 100 % concordant with the disorder . although the deletion itself do not appear to disrupt the cod region of any know or novel gene ( s ) , the close flanking gene be meox1 on the proximal side , and sost on the distal side of the deletion . meox1 be know to be important for the development of the axial skeleton , whereas the sost gene be the determinant of sclerosteosis , a disorder that share many feature with van buchem disease , thus raise the possibility that van buchem disease result from dysregulation of the expression of one or both of these gene .	American journal of medical genetics	15/06/2002
